MONTH,Close,MOMENTUM_PERCENT_CHANGE,SWITCH_DYNAMIC,SWITCH_DYNAMIC_OPTIMISTIC,SWITCH_DYNAMIC_PESSIMISTIC,AMOUNT_SWITCH_DYNAMIC_OPTIMISTIC,AMOUNT_SWITCH_DYNAMIC,AMOUNT_SWITCH_DYNAMIC_PESSIMISTIC
Nov-22,20264.3,-14.44,CASH,CASH,CASH,49351.88,26657.3,49662.85372241054
Dec-22,19444.95,1.64,CASH,CASH,CASH,49351.88,26657.3,49662.85372241054
Jan-23,18610.65,-7.04,CASH,CASH,CASH,49351.88,26657.3,49662.85372241054
Feb-23,17890.95,-11.71,CASH,CASH,CASH,49351.88,26657.3,49662.85372241054
Mar-23,18257.05,-6.11,CASH,CASH,CASH,49351.88,26657.3,49662.85372241054
Apr-23,19315.75,3.79,CASH,CASH,CASH,49351.88,26657.3,49662.85372241054
May-23,20459.9,14.36,MOMENTUM,MOMENTUM,MOMENTUM,52275.19,28236.32,52604.585422525524
Jun-23,21312.9,16.74,MOMENTUM,MOMENTUM,MOMENTUM,54454.61,29413.53,54797.73941474514
Jul-23,22275.85,15.32,MOMENTUM,MOMENTUM,MOMENTUM,56914.95,30742.48,57273.586585680525
Aug-23,22211.65,8.56,MOMENTUM,MOMENTUM,MOMENTUM,56750.92,30653.87,57108.5215372626
Sep-23,23085.3,8.32,MOMENTUM,MOMENTUM,MOMENTUM,58983.1,31859.58,59354.768882283315
